,timestamp,robot_name,status code,status,xy_coordinate,GPS_coordinate
0,1648560408.26171,tb3_1,0,PENDING,"(-19.137196418947614, -40.46828210192596)","(103.81467859963108, 1.3149966045018828)"
1,1648560408.326533,tb3_1,0,PENDING,"(-19.137194911142743, -40.46827769591347)","(103.81467859976671, 1.3149966048981243)"
2,1648560408.534075,tb3_1,0,PENDING,"(-19.13719310498856, -40.46827241828585)","(103.81467859992918, 1.3149966053727524)"
3,1648560408.740116,tb3_1,0,PENDING,"(-19.137191298409164, -40.46826713963257)","(103.8146786000917, 1.3149966058474727)"
4,1648560408.92747,tb3_1,0,PENDING,"(-19.137189193214788, -40.46826098872451)","(103.81467860028107, 1.3149966064006364)"
5,1648560409.136628,tb3_1,0,PENDING,"(-19.137187683994366, -40.46825657929538)","(103.81467860041684, 1.3149966067971854)"
6,1648560409.336043,tb3_1,0,PENDING,"(-19.137185876175664, -40.46825129764557)","(103.81467860057946, 1.3149966072721746)"
7,1648560409.55523,tb3_1,0,PENDING,"(-19.137184067998117, -40.46824601505203)","(103.8146786007421, 1.3149966077472495)"
8,1648560409.753466,tb3_1,0,PENDING,"(-19.137182259458733, -40.468240731482844)","(103.8146786009048, 1.3149966082224118)"
9,1648560409.94835,tb3_1,0,PENDING,"(-19.1371804505579, -40.46823544693875)","(103.81467860106751, 1.3149966086976617)"
10,1648560410.154625,tb3_1,0,PENDING,"(-19.137178939848997, -40.46823103359781)","(103.81467860120341, 1.3149966090945624)"
11,1648560410.350577,tb3_1,0,PENDING,"(-19.13717683167295, -40.468224874927174)","(103.81467860139306, 1.3149966096484242)"
12,1648560410.563048,tb3_1,0,PENDING,"(-19.13717502168911, -40.46821958745963)","(103.81467860155588, 1.314996610123937)"
13,1648560410.76684,tb3_1,0,PENDING,"(-19.13717321136228, -40.4682142990452)","(103.81467860171873, 1.3149966105995352)"
14,1648560410.96524,tb3_1,0,PENDING,"(-19.137171400709665, -40.46820900967883)","(103.81467860188161, 1.3149966110752187)"
15,1648560411.162047,tb3_1,0,PENDING,"(-19.137169290885147, -40.46820284635297)","(103.8146786020714, 1.3149966116294993)"
16,1648560411.356165,tb3_1,0,PENDING,"(-19.137167479521533, -40.468197554902275)","(103.81467860223434, 1.3149966121053704)"
17,1648560411.56977,tb3_1,0,PENDING,"(-19.137166265724243, -40.46819400909162)","(103.81467860234352, 1.3149966124242525)"
18,1648560411.766419,tb3_1,0,PENDING,"(-19.137164453811927, -40.46818871603131)","(103.8146786025065, 1.314996612900268)"
19,1648560411.964789,tb3_1,0,PENDING,"(-19.137162641568786, -40.46818342200293)","(103.81467860266953, 1.314996613376371)"
20,1648560412.167611,tb3_1,0,PENDING,"(-19.137160529889115, -40.4681772532421)","(103.81467860285949, 1.3149966139311402)"
21,1648560412.364705,tb3_1,0,PENDING,"(-19.1371587169312, -40.46817195712296)","(103.81467860302257, 1.3149966144074312)"
22,1648560412.566902,tb3_1,0,PENDING,"(-19.137156903643298, -40.46816666003789)","(103.8146786031857, 1.3149966148838088)"
23,1648560412.767953,tb3_1,0,PENDING,"(-19.137155090025477, -40.468161361986745)","(103.81467860334884, 1.3149966153602737)"
24,1648560412.967114,tb3_1,0,PENDING,"(-19.137153276077857, -40.46815606296939)","(103.81467860351201, 1.314996615836825)"
25,1648560413.182409,tb3_1,0,PENDING,"(-19.13715146180052, -40.468150762985694)","(103.81467860367522, 1.3149966163134637)"
26,1648560413.380918,tb3_1,0,PENDING,"(-19.137149647193574, -40.46814546203551)","(103.81467860383844, 1.3149966167901888)"
27,1648560413.581351,tb3_1,0,PENDING,"(-19.137147832257106, -40.46814016011869)","(103.81467860400171, 1.314996617267001)"
28,1648560413.779418,tb3_1,0,PENDING,"(-19.137146316532753, -40.468135732277496)","(103.81467860413805, 1.3149966176652061)"
